B2N Incidence Matrix Column Names (Buses) and their level within the matrix
Bus Name,Bus Level
150,0
150r,0
149,0
1,0
7,0
8,0
13,0
152,0
52,0
53,0
54,0
94_open,1
57,0
60,0
160,0
160r,0
67,0
97,0
197,0
101,0
105,0
108,0
300,1
109,0
110,0
112,0
113,0
114,1
111,1
106,1
107,2
102,1
103,2
104,3
98,1
99,2
100,3
450,4
72,1
76,2
86,3
87,4
89,5
91,6
93,7
95,8
96,9
94,8
92,7
90,6
88,5
77,3
78,4
80,5
81,6
84,7
85,8
82,7
83,8
79,5
73,2
74,3
75,4
68,1
69,2
70,3
71,4
62,1
63,2
64,3
65,4
66,5
61,1
61s,2
610,3
58,1
59,2
55,1
56,2
18,1
135,2
35,3
40,4
42,5
44,6
47,7
49,8
50,9
51,10
151,11
300_open,12
48,8
45,7
46,8
43,6
41,5
36,4
38,5
39,6
37,5
21,2
23,3
25,4
25r,5
26,6
31,7
32,8
27,7
33,8
28,5
29,6
30,7
250,8
24,4
22,3
19,2
20,3
34,1
15,2
17,3
16,4
9,1
9r,2
14,3
10,4
11,5
12,1
3,1
5,2
6,3
4,2
2,1
